power,cost
51,1342.32
52,1458.738
53,1587.82
54,1716.902
55,1845.984
56,1945.146
57,2025.607
58,2106.068
59,2186.529
60,2266.99
61,2352.184
62,2437.379
63,2522.573
64,2607.767
65,2692.961
66,2778.155
67,2832.455
68,2881.137
69,2929.82
70,2978.502
71,3027.184
72,3075.68
73,3123.956
74,3172.233
75,3220.51
76,3268.786
77,3317.063
78,3365.34
79,3413.617
80,3436.154
81,3450.971
82,3465.787
83,3480.604
84,3495.42
85,3510.236
86,3525.053
87,3539.869
88,3554.686
89,3548.835
90,3541.262
91,3533.689
92,3526.117
93,3518.544
94,3525.243
95,3610.437
96,3695.631
97,3780.825
98,3866.019
99,3959.447
100,4059.933
101,4160.418
102,4260.904
103,4361.389
104,4458.738
105,4553.398
106,4648.058
107,4742.718
108,4837.379
109,4900.364
110,4960.71
111,5021.056
112,5081.402
113,5141.748
114,5202.093
115,5255.737
116,5307.37
117,5359.003
118,5410.635
119,5462.268
120,5513.901
121,5565.534
122,5617.167
123,5662.445
124,5693.425
125,5724.404
126,5755.384
127,5786.364
128,5817.343
129,5848.323
130,5879.303
131,5910.282
132,5925.728
133,5938.35
134,5950.971
135,5963.592
136,5976.214
137,5988.835
138,6001.456
139,5995.874
140,5988.774
141,5981.675
142,5974.575
143,5967.476
144,5960.376
145,6026.699
146,6115.049
147,6203.398
148,6291.748
149,6380.097
150,6468.447
151,6556.796
152,6623.024
153,6685.229
154,6747.434
155,6809.639
156,6871.845
157,6934.05
158,6996.255
159,7058.46
160,7116.505
161,7173.301
162,7230.097
163,7286.893
164,7343.689
165,7400.485
166,7457.282
167,7502.427
168,7533.981
169,7565.534
170,7597.087
171,7628.641
172,7660.194
173,7691.748
174,7720.702
175,7747.43
176,7774.158
177,7800.885
178,7827.613
179,7854.34
180,7881.068
181,7896.214
182,7911.359
183,7926.505
184,7941.65
185,7956.796
186,7968.447
187,7968.447
188,7968.447
189,7968.447
190,7968.447
191,7968.447
192,7968.447

